,MSPP0,MSPP1,MSPP2,MSPP3,MSPP4,MSPP5,MSPP6
it231,11.22386426,11.27896428,11.77571511,11.27896428,11.77571511,11.27896428,11.77571511
it232,7.331258506,7.505780994,7.785621578,7.505780994,7.785621578,7.505780994,7.785621578
it233,8.551651376,8.551651376,8.551651376,8.551651376,8.551651376,8.551651376,8.551651376
it234,7.777605172,7.828322924,7.828322924,7.828322924,7.828322924,7.828322924,7.828322924
it235,8.510834332,9.012714526,9.030858418,9.012714526,9.030858418,9.012714526,9.030858418
it236,6.6373602,7.225538826,8.424571454,7.225538826,8.424571454,7.225538826,8.424571454
it237,7.460979504,7.769571048,8.452465118,7.769571048,8.452465118,7.769571048,8.452465118
it238,6.936408868,6.936408868,7.439915006,6.936408868,7.439915006,6.936408868,7.439915006
it239,9.301006994,9.35468424,9.684779914,9.35468424,9.684779914,9.35468424,9.684779914
it240,9.80933444,9.80933444,10.59015799,9.80933444,10.59015799,9.80933444,10.59015799
it241,7.195891226,8.43702566,9.68287614,8.43702566,9.68287614,8.43702566,9.68287614
it242,7.589024714,7.598773862,7.598773862,7.598773862,7.598773862,7.598773862,7.598773862
it243,8.574259124,8.814103474,8.814103474,8.814103474,8.814103474,8.814103474,8.814103474
it244,8.93779103,8.93779103,8.93779103,8.93779103,8.93779103,8.93779103,8.93779103
it245,7.238781148,7.765392786,8.1507364,7.765392786,8.1507364,7.765392786,8.1507364
it246,5.951014306,5.951014306,6.26946711,5.951014306,6.26946711,5.951014306,6.26946711
it247,9.27153806,9.27153806,9.27153806,9.27153806,9.27153806,9.27153806,9.27153806
it248,8.353763218,8.353763218,8.353763218,8.353763218,8.353763218,8.353763218,8.353763218
it249,10.29524161,10.29524161,10.46592841,10.29524161,10.46592841,10.29524161,10.46592841
it250,10.92446971,11.2574571,11.6887147,11.2574571,11.6887147,11.2574571,11.6887147
it251,7.68640108,7.897586952,7.897586952,7.897586952,9.139266374,7.897586952,7.897586952
it252,11.41483939,11.74511996,12.37105536,11.74511996,12.37105536,11.74511996,12.37105536
it253,10.59660266,10.59660266,10.59660266,10.59660266,10.59660266,10.59660266,10.59660266
it254,8.52531127,8.74818363,9.021037512,8.74818363,9.021037512,8.74818363,9.021037512
it255,7.083878168,7.712384892,7.712384892,7.712384892,8.726986378,7.712384892,7.712384892
it256,8.074249176,8.107068008,8.167884456,8.107068008,8.167884456,8.107068008,8.167884456
it257,6.952648702,7.106282432,7.424614156,7.106282432,7.424614156,7.106282432,7.424614156
it258,10.24767588,10.46343509,10.82515734,10.46343509,10.82515734,10.46343509,10.82515734
it259,8.690179944,8.690179944,9.123046186,8.690179944,9.123046186,8.690179944,9.123046186
it260,8.421245274,8.421245274,8.421245274,8.421245274,8.421245274,8.421245274,8.421245274
it261,7.01897221,7.01897221,7.924095378,7.01897221,7.924095378,7.01897221,7.924095378
it262,6.55517092,6.624706494,7.392962694,6.624706494,7.392962694,6.624706494,7.392962694
it263,6.471670424,7.324254808,7.683600858,7.324254808,7.683600858,7.324254808,7.683600858
it264,8.106464278,8.106464278,8.739741334,8.106464278,8.739741334,8.106464278,8.739741334
it265,8.318267096,8.318267096,8.783653394,8.318267096,8.783653394,8.318267096,8.783653394
it266,8.824307424,9.239473088,9.239473088,9.239473088,9.239473088,9.239473088,9.239473088
it267,8.609606812,8.609606812,8.927402246,8.609606812,8.927402246,8.609606812,8.927402246
it268,9.53141927,9.53141927,9.53141927,9.53141927,9.53141927,9.53141927,9.53141927
it269,9.601953,9.904201366,9.904201366,9.904201366,11.37426292,9.904201366,9.904201366
it270,8.812863926,8.968066376,8.968066376,8.968066376,8.968066376,8.968066376,8.968066376
it271,10.55877289,10.65386829,10.84550801,10.65386829,10.84550801,10.65386829,10.84550801
it272,7.77916714,7.77916714,7.77916714,7.77916714,7.77916714,7.77916714,7.77916714
it273,8.087819008,8.841559742,9.027857722,8.841559742,9.027857722,8.841559742,9.027857722
it274,10.42793163,10.42793163,10.42793163,10.42793163,10.42793163,10.42793163,10.42793163
it275,6.81800984,6.81800984,6.81800984,6.81800984,6.81800984,6.81800984,6.81800984
it276,8.10506612,8.571533794,8.571533794,8.571533794,8.571533794,8.571533794,8.571533794
it277,9.207617674,9.91619768,10.81220026,9.91619768,10.81220026,9.91619768,10.81220026
it278,9.028402424,9.53014939,10.24428633,9.53014939,10.24428633,9.53014939,10.24428633
it279,6.898392548,7.63033875,8.44896803,7.63033875,8.44896803,7.63033875,8.44896803
it280,8.705347876,8.705347876,8.705347876,8.705347876,8.705347876,8.705347876,8.705347876
it281,9.320343122,10.08136135,10.34370541,10.08136135,10.34370541,10.08136135,10.34370541
it282,8.045433984,8.206220622,8.206220622,8.206220622,9.240733596,8.206220622,8.206220622
it283,8.85323464,8.99320395,8.99320395,8.99320395,8.99320395,8.99320395,8.99320395
it284,9.069297012,9.069297012,9.069297012,9.069297012,9.069297012,9.069297012,9.069297012
it285,6.016714514,6.016714514,6.016714514,6.016714514,6.016714514,6.016714514,6.016714514
it286,6.82891189,8.16977086,8.16977086,8.16977086,8.16977086,8.16977086,8.16977086
it287,7.740551452,7.740551452,8.513879766,7.740551452,8.513879766,7.740551452,8.513879766
it288,9.945237636,10.14251733,10.14251733,10.14251733,10.14251733,10.14251733,10.14251733
it289,10.30618448,10.30618448,10.30618448,10.30618448,10.30618448,10.30618448,10.30618448
it290,7.522429726,7.678807914,7.678807914,7.678807914,7.678807914,7.678807914,7.678807914
it291,9.193277006,9.193277006,9.622418424,9.193277006,9.622418424,9.193277006,9.622418424
it292,8.544825,8.924613486,9.083804416,8.924613486,9.083804416,8.924613486,9.083804416
it293,7.567280834,7.67337392,7.67337392,7.67337392,7.67337392,7.67337392,7.67337392
it294,8.631277538,9.055942442,9.849245348,9.055942442,9.849245348,9.055942442,9.849245348
it295,7.963251448,8.78629601,9.195135506,8.78629601,9.195135506,8.78629601,9.195135506
it296,8.642346512,8.642346512,8.910615906,8.642346512,8.910615906,8.642346512,8.910615906
it297,8.667967456,8.667967456,8.667967456,8.667967456,8.667967456,8.667967456,8.667967456
it298,7.574014068,8.056225654,8.805811222,8.056225654,8.805811222,8.056225654,8.805811222
it299,8.662031232,8.662031232,8.662031232,8.662031232,8.662031232,8.662031232,8.662031232
it300,8.34151815,8.34151815,8.34151815,8.34151815,8.34151815,8.34151815,8.34151815
it301,12.32722512,12.32722512,12.32722512,12.32722512,12.32722512,12.32722512,12.32722512
it302,9.983755042,9.983755042,9.983755042,9.983755042,9.983755042,9.983755042,9.983755042
it303,7.055169848,7.403384202,8.140670236,7.403384202,8.140670236,7.403384202,8.140670236
it304,8.663421612,9.46391411,10.10854012,9.46391411,10.10854012,9.46391411,10.10854012
it305,8.074987718,8.074987718,8.074987718,8.074987718,8.074987718,8.074987718,8.074987718
it306,7.71913824,7.71913824,7.95730841,7.71913824,7.95730841,7.71913824,7.95730841
